,Area,YearBuilt,Rooms,Location,Price,Floor,BuildingAge
0,87,1400,2, مرزداران,13920000000,7,2
1,98,1397,2, کوی فردوس,10600000000,5,5
2,60,1396,1, ابراهیم‌آباد,1560000000,1,6
3,87,1394,2, سازمان برنامه,9500000000,3,8
4,170,1375,3, فرمانیه,34000000000,2,27
5,61,1395,2, اندیشه (شهر زیبا),2650000000,0,7
6,105,1401,2, هروی,14000000000,7,1
7,90,1387,2, پونک,10750000000,1,15
8,67,1383,2, جنت‌آباد جنوبی,6666000000,0,19
9,91,1384,2, شهرک نفت (منطقه ۵),9100000000,0,18
10,88,1380,2, سازمان برنامه,9590000000,2,22
11,260,1395,4, قیطریه,30000000000,2,7
12,110,1389,2, سعادت‌آباد,16000000000,4,13
13,160,1395,3, شهرک راه‌آهن,14000000000,1,7
14,85,1401,2, نیاوران,22600000000,9,1
15,102,1387,2, قیطریه,13200000000,5,15
16,128,1401,2, پاسداران,15360000000,8,1
17,122,1390,3, سازمان برنامه,12000000000,3,12
18,80,1396,2, ایران,6280000000,0,6
19,73,1401,1, دریاچه شهدای خلیج فارس,6000000000,5,1
20,182,1385,3, قیطریه,18600000000,4,17
21,96,1392,2, قلهک,12800000000,2,10
22,102,1402,2, وردآورد,918000000,10,0
23,94,1396,2, پونک,10000000000,5,6
24,112,1402,2, شهرک راه‌آهن,11000000000,3,0
25,150,1401,3, قبا,24750000000,2,1
26,46,1399,1, مخصوص,2500000000,0,3
27,550,1399,4, زعفرانیه,165000000000,3,3
28,118,1402,2, شهرک راه‌آهن,1950000000,9,0
29,72,1395,1, خانی‌آباد,2600000000,0,7
30,117,1402,2, پاسداران,15000000000,2,0
31,54,1398,1, استاد معین,3600000000,1,4
32,250,1401,3, ولنجک,75000000000,6,1
33,120,1371,2, دهکده المپیک,8200000000,2,31
34,55,1402,1, باغ فیض,7700000000,2,0
35,66,1394,2, چیتگر,2900000000,2,8
36,95,1380,2, پلیس,5900000000,4,22
37,100,1385,2, شهرک راه‌آهن,8200000000,2,17
38,58,1385,2, دولت‌آباد,1990000000,4,17
39,70,1393,2, ارم,7750000000,5,9
40,45,1381,1, سلسبیل,2650000000,2,21
41,100,1401,2, چیتگر,1900000000,19,1
42,120,1398,2, آبشار تهران,8400000000,10,4
43,74,1402,1, پونک,7400000000,8,0
44,280,1392,3, امامزاده قاسم,47000000000,0,10
45,86,1399,2, استاد معین,7000000000,4,3
46,115,1401,2, شهرک نفت (منطقه ۵),14900000000,0,1
47,100,1401,2, چیتگر,1750000000,20,1
48,164,1386,3, سعادت‌آباد,22000000000,3,16
49,114,1383,2, سعادت‌آباد,12300000000,1,19
50,60,1401,1, گیشا (کوی نصر),12000000000,4,1
51,146,1390,3, شهران جنوبی,16500000000,5,12
52,103,1401,2, حسین‌آباد,12890000000,4,1
53,132,1401,3, چیتگر,14500000000,16,1
54,115,1396,2, سعادت‌آباد,28250000000,4,6
55,95,1399,2, شوش,3600000000,0,3
56,140,1401,3, گیشا (کوی نصر),22500000000,3,1
57,47,1380,1, سلسبیل,2400000000,3,22
58,270,1395,4, فرمانیه,40000000000,5,7
59,146,1370,3, اکباتان,13500000000,30,32
60,84,1401,2, استاد معین,5200000000,2,1
61,135,1402,3, چیتگر,5670000000,30,0
62,53,1382,1, جیحون,2745000000,1,20
63,330,1401,4, اقدسیه,65000000000,2,1
64,90,1398,2, پونک,9540000000,3,4
65,120,1384,3, پاسداران,15000000000,3,18
66,62,1392,1, شهرک آزادی,4650000000,1,10
67,58,1390,1, اسکندری,3200000000,0,12
68,55,1395,1, سلیمانی,3050000000,3,7
69,60,1398,1, سعادت‌آباد,11900000000,1,4
70,156,1402,3, کوی فردوس,17000000000,3,0
71,75,1402,2, استاد معین,5350000000,2,0
72,63,1377,1, جیحون,3500000000,0,25
73,70,1375,2, سبلان,2690000000,0,27
74,60,1386,1, هاشمی,3950000000,1,16
75,122,1400,2, ازگل,12500000000,0,2
76,98,1399,2, جنت‌آباد مرکزی,12100000000,5,3
77,126,1401,2, دریاچه شهدای خلیج فارس,9120000000,0,1
78,154,1402,3, چیتگر,9000000000,18,0
79,103,1396,2, وردآورد,5800000000,1,6
80,45,1398,1, اندیشه (شهر زیبا),2400000000,2,4
81,70,1391,2, جنت‌آباد جنوبی,6700000000,3,11
82,51,1390,1, شهرک دریا,3820000000,0,12
83,150,1375,3, یوسف‌آباد,16700000000,4,27
84,34,1382,1, نازی‌آباد,2450000000,0,20
85,65,1383,1, افسریه,3550000000,0,19
86,119,1401,2, پاسداران,14500000000,8,1
87,72,1391,2, مسعودیه,3250000000,3,11
88,148,1401,3, مرزداران,17500000000,5,1
89,52,1402,1, استاد معین,4200000000,4,0
90,56,1386,2, سازمان برنامه,5750000000,1,16
91,125,1400,3, مرزداران,17500000000,5,2
92,67,1382,2, فردوسی,4700000000,3,20
93,175,1395,3, هروی,19250000000,2,7
94,56,1394,1, یافت‌آباد,1840000000,0,8
95,49,1400,1, بریانک,3200000000,0,2
96,115,1387,2, زعفرانیه,24000000000,4,15
97,166,1395,3, هروی,20000000000,2,7
98,142,1386,3, هروی,16800000000,1,16
99,230,1402,3, دروس,68000000000,4,0
100,72,1394,2, نیاوران,8300000000,1,8
101,57,1385,1, افسریه,2930000000,0,17
102,140,1391,3, حکیمیه,9700000000,5,11
103,420,1393,4, فرمانیه,105000000000,9,9
104,65,1388,1, شهرک راه‌آهن,6030000000,3,14
105,70,1389,2, دهکده المپیک,4960000000,2,13
106,85,1395,2, گیشا (کوی نصر),11900000000,0,7
107,177,1385,3, شهر زیبا,13500000000,1,17
108,110,1402,2, آجودانیه,15400000000,9,0
109,70,1395,2, شهرک کیانشهر,3500000000,3,7
110,110,1394,2, شهرک راه‌آهن,7100000000,1,8
111,50,1394,1, شهرک کیانشهر,2390000000,3,8
112,83,1401,2, شهرک کیانشهر,4199000000,3,1
113,60,1395,1, شهرک کیانشهر,2900000000,2,7
114,61,1393,1, شهرک کیانشهر,2740000000,5,9
115,77,1372,2, شهرک کیانشهر,2699000000,4,30
116,138,1399,2, دریاچه شهدای خلیج فارس,6500000000,12,3
117,132,1401,3, پاسداران,18500000000,5,1
118,144,1400,3, ظفر,21500000000,3,2
119,49,1383,1, آهنگ,3200000000,0,19
120,76,1387,2, پونک,7400000000,5,15
121,110,1401,2, ستارخان,9300000000,5,1
122,78,1394,2, شهرک پرواز,8600000000,3,8
123,94,1399,2, دربند,14200000000,5,3
124,85,1401,2, جنت‌آباد مرکزی,10300000000,5,1
125,155,1395,3, نیاوران,22500000000,3,7
126,120,1401,3, چیتگر,3060000000,16,1
127,94,1376,2, کوی فردوس,7600000000,0,26
128,87,1400,2, دریان‌نو,9340000000,5,2
129,80,1391,2, هروی,8800000000,3,11
130,100,1402,2, دریاچه شهدای خلیج فارس,2800000000,9,0
131,165,1400,3, زعفرانیه,48000000000,3,2
132,53,1396,1, جیحون,3200000000,4,6
133,155,1396,3, سعادت‌آباد,31000000000,2,6
134,64,1393,1, دکتر هوشیار,4500000000,1,9
135,358,1395,4, نیاوران,81000000000,9,7
136,85,1381,2, صادقیه,7450000000,2,21
137,63,1389,2, جیحون,4000000000,1,13
138,200,1385,3, ولنجک,31000000000,9,17
139,100,1401,2, چیتگر,2800000000,15,1
140,100,1401,2, چیتگر,2800000000,10,1
141,67,1389,1, کوی فردوس,7300000000,3,13
142,132,1402,3, سعادت‌آباد,33000000000,5,0
143,148,1400,3, سعادت‌آباد,28000000000,2,2
144,48,1402,1, آذربایجان,3905000000,1,0
145,114,1402,2, سعادت‌آباد,18080000000,6,0
146,155,1384,3, دروس,21000000000,2,18
147,110,1401,2, سهروردی,14300000000,4,1
148,125,1400,3, مبارک‌آباد بهشتی,3125000000,4,2
149,130,1401,2, قبا,18000000000,4,1
150,86,1382,2, تهران‌نو,5160000000,2,20
151,79,1401,2, آذربایجان,7500000000,4,1
152,110,1401,2, دروس,18700000000,3,1
153,148,1402,2, جردن,28800000000,2,0
154,44,1383,1, مرزداران,4488000000,2,19
155,400,1389,4, نیاوران,78650000000,3,13
156,88,1386,2, شهرک راه‌آهن,8400000000,0,16
157,135,1378,3, صادقیه,10000000000,3,24
158,77,1400,2, اندیشه (شهر زیبا),7050000000,1,2
159,150,1401,3, نیاوران,26000000000,1,1
160,138,1402,3, دریاچه شهدای خلیج فارس,2250000000,6,0
161,42,1384,1, استاد معین,2650000000,3,18
162,100,1381,2, دربند,10000000000,0,21
163,101,1401,2, هروی,13200000000,4,1
164,120,1385,2, اختیاریه,15600000000,2,17
165,115,1390,3, قیطریه,20000000000,3,12
166,125,1382,3, قیطریه,14500000000,4,20
167,106,1402,2, درب دوم,18900000000,3,0
168,182,1395,3, شریف,18200000000,0,7
169,140,1398,3, کوهک,10000000000,7,4
170,63,1400,2, جیحون,4300000000,1,2
171,110,1394,2, مرزداران,13800000000,3,8
172,66,1389,1, خلیج فارس,3280000000,0,13
173,49,1382,1, هاشمی,3100000000,0,20
174,73,1399,2, دکتر هوشیار,5290000000,1,3
175,80,1386,2, سازمان آب,7450000000,1,16
176,120,1401,2, چیتگر,3360000000,1,1
177,70,1402,1, سازمان برنامه,7550000000,5,0
178,73,1399,2, جیحون,5285000000,1,3
179,200,1401,3, پاسداران,24500000000,10,1
180,130,1402,3, سرو آزاد,9200000000,0,0
181,170,1402,3, سعادت‌آباد,55930000000,8,0
182,82,1401,2, صادقیه,8660000000,2,1
183,54,1385,2, میدان انقلاب,3510000000,0,17
184,107,1402,2, پاسداران,13500000000,10,0
185,105,1398,2, تهران‌سر,8300000000,0,4
186,85,1402,2, چیتگر,7650000000,9,0
187,180,1401,3, پاسداران,20880000000,9,1
188,155,1388,3, سعادت‌آباد,26500000000,2,14
189,76,1388,2, افسریه,4000000000,0,14
190,150,1394,3, سعادت‌آباد,24500000000,2,8
191,201,1387,3, سعادت‌آباد,38000000000,2,15
192,120,1399,3, ستارخان,15200000000,0,3
193,101,1401,2, دریاچه شهدای خلیج فارس,2000000000,20,1
194,160,1402,3, پونک,19100000000,2,0
195,142,1400,3, سعادت‌آباد,26700000000,4,2
196,118,1402,3, نارمک,22500000000,4,0
197,125,1385,3, میرداماد,16250000000,2,17
198,100,1401,2, چیتگر,1750000000,15,1
199,102,1402,2, چیتگر,1750000000,13,0
200,130,1386,2, پونک,10600000000,1,16
201,129,1401,2, مبارک‌آباد بهشتی,3870000000,4,1
202,140,1401,3, مبارک‌آباد بهشتی,4200000000,3,1
203,87,1386,2, کوی فردوس,8800000000,3,16
204,720,1396,4, فرمانیه,145000000000,11,6
205,76,1400,1, آسمان,9600000000,1,2
206,52,1398,1, سلسبیل,3530000000,1,4
207,82,1401,2, تجریش,12000000000,2,1
208,117,1401,2, چیتگر,936000000,11,1
209,77,1395,2, مرزداران,9000000000,5,7
210,150,1401,3, شهرک غرب,37000000000,7,1
211,75,1383,2, پونک,7400000000,3,19
212,120,1385,2, سعادت‌آباد,21000000000,5,17
213,70,1401,1, الهیه,23000000000,1,1
214,50,1394,1, دولاب,5900000000,2,8
215,145,1380,3, پونک,28000000000,1,22
216,120,1401,2, شادمهر,12590000000,4,1
217,122,1391,3, چیتگر,6500000000,3,11
218,250,1401,3, نیاوران,85000000000,6,1
219,75,1397,2, مبارک‌آباد بهشتی,1875000000,3,5
220,110,1370,2, جهاد,8800000000,2,32
221,210,1380,3, قیطریه,24350000000,4,22
222,128,1391,2, باغ خزانه,6848000000,5,11
223,100,1397,2, شهران شمالی,11000000000,4,5
224,125,1401,2, دریاچه شهدای خلیج فارس,7850000000,3,1
225,150,1402,3, چیتگر,9999999999,9,0
226,210,1401,2, الهیه,45500000000,5,1
227,75,1388,2, نیرو هوایی,5000000000,3,14
228,70,1392,2, مبارک‌آباد بهشتی,2300000000,1,10
229,55,1398,1, مبارک‌آباد بهشتی,1705000000,1,4
230,113,1395,2, مرزداران,14800000000,2,7
231,56,1387,1, فلاح,2632000000,4,15
232,100,1402,2, منیریه,9900000000,6,0
233,142,1388,3, سعادت‌آباد,18100000000,2,14
234,60,1398,2, اندیشه (شهر زیبا),2000000000,2,4
235,65,1402,2, منیریه,6500000000,1,0
236,95,1394,2, جنت‌آباد مرکزی,10050000000,3,8
237,125,1396,3, پاسداران,17600000000,3,6
238,135,1398,2, دهقان,12300000000,0,4
239,100,1377,2, سعادت‌آباد,12999909099,1,25
240,154,1390,3, دروس,21000000000,3,12
241,55,1387,1, جنت‌آباد مرکزی,5400000000,5,15
242,102,1388,2, قلهک,12000000000,5,14
243,155,1383,3, ظفر,16000000000,4,19
244,109,1393,2, مرزداران,16000000000,1,9
245,110,1402,2, باغ فیض,13750000000,3,0
246,185,1402,3, کاشانک,25500000000,6,0
247,64,1402,1, مرزداران,8400000000,3,0
248,77,1389,2, مرزداران,10450000000,2,13
249,313,1386,4, دروس,51500000000,5,16
250,125,1397,2, منیریه,10450000000,5,5
251,250,1400,3, دروس,50000000000,4,2
252,67,1389,1, سازمان برنامه,5705000000,1,13
253,120,1385,2, اختیاریه,13000000000,1,17
254,130,1402,3, سهروردی,14000000000,4,0
255,115,1401,2, هروی,13750000000,30,1
256,115,1396,3, پونک,12300000000,4,6
257,143,1402,3, شهرک غرب,27000000000,2,0
258,101,1383,2, سعادت‌آباد,12900000000,1,19
259,115,1382,2, شهرک غرب,16500000000,2,20
260,50,1386,1, کوی فردوس,5400000000,0,16
261,110,1388,2, کامرانیه,18500000000,4,14
262,140,1401,3, دریاچه شهدای خلیج فارس,3920000000,14,1
263,72,1400,2, اندیشه (شهر زیبا),2800000000,4,2
264,115,1385,2, اختیاریه,13500000000,5,17
265,66,1385,2, کوی فردوس,7900000000,5,17
266,312,1398,4, فرمانیه,94000000000,3,4
267,165,1395,3, مرزداران,26600000000,4,7
268,112,1402,2, سرو آزاد,10000000000,0,0
269,124,1397,3, دریاچه شهدای خلیج فارس,11700000000,5,5
270,110,1401,2, سرو آزاد,11000000000,0,1
271,170,1401,3, نیاوران,38000000000,2,1
272,132,1391,3, هوانیروز,12000000000,0,11
273,58,1394,1, کرمان,4999999999,0,8
274,131,1401,2, پاسداران,15800000000,10,1
275,48,1385,1, کوی فردوس,4550000000,4,17
276,98,1398,3, مبارک‌آباد بهشتی,2945000000,5,4
277,102,1401,2, اختیاریه,20400000000,4,1
278,74,1388,2, جنت‌آباد جنوبی,6680000000,2,14
279,66,1382,2, ایران,5800000000,0,20
280,118,1380,2, جردن,16000000000,3,22
281,85,1370,2, شمشیری,4500000000,0,32
282,66,1399,2, شهرک تختی,2241000000,3,3
283,150,1402,3, مرزداران,17600000000,0,0
284,120,1370,3, شهر زیبا,7700000000,0,32
285,106,1381,2, صادقیه,9222000000,0,21
286,52,1401,1, هاشم‌آباد,1716000000,3,1
287,93,1402,2, جنت‌آباد جنوبی,13480000000,3,0
288,72,1387,2, ظهیرآباد,4320000000,0,15
289,160,1395,3, هروی,20710000000,1,7
290,60,1385,1, آهنگ,3000000000,0,17
291,53,1385,1, کوی فردوس,5500000000,3,17
292,81,1401,2, مبارک‌آباد بهشتی,2632500000,3,1
293,155,1401,3, جنت‌آباد جنوبی,24500000000,2,1
294,290,1401,4, پونک,55000000000,4,1
295,62,1394,1, ازگل,8200000000,4,8
296,92,1393,2, جنت‌آباد مرکزی,12050000000,3,9
297,133,1394,3, جنت‌آباد جنوبی,17000000000,5,8
298,67,1392,1, جی,3486000000,1,10
299,185,1394,3, شهرک ژاندارمری,33200000000,3,8
300,165,1379,3, شهرک غرب,21000000000,4,23
301,90,1396,2, جنت‌آباد شمالی,9200000000,3,6
302,100,1370,1, پیروزی,6200000000,0,32
303,178,1380,3, جردن,20500000000,6,22
304,150,1402,3, جردن,28000000000,1,0
305,200,1402,3, پاسداران,24000000000,16,0
306,168,1381,3, جردن,22200000000,4,21
307,225,1385,3, امانیه,25400000000,5,17
308,140,1395,3, شهرک پرواز,17600000000,2,7
309,112,1391,2, باغ فیض,12544000000,3,11
310,270,1388,4, ولنجک,56000000000,5,14
311,110,1402,2, جنت‌آباد جنوبی,11680000000,3,0
312,105,1393,3, شهران جنوبی,11400000000,4,9
313,136,1388,3, کوی فردوس,13900000000,3,14
314,154,1383,3, کوی فردوس,11550000000,2,19
315,115,1384,2, هروی,12700000000,1,18
316,104,1393,2, جنت‌آباد مرکزی,12200000000,1,9
317,214,1402,3, جردن,47000000000,1,0
318,130,1398,3, هروی,18200000000,5,4
319,98,1390,2, جنت‌آباد جنوبی,11800000000,4,12
320,105,1385,2, سعادت‌آباد,13000000000,4,17
321,110,1390,2, هروی,12900000000,5,12
322,212,1385,3, پاسداران,29000000000,4,17
323,85,1395,2, پونک,7600000000,4,7
324,88,1401,2, کاشانک,14500000000,3,1
325,127,1401,2, ازگل,21300000000,2,1
326,140,1401,3, سعادت‌آباد,23500000000,5,1
327,180,1388,3, زعفرانیه,28000000000,3,14
328,135,1395,3, جنت‌آباد شمالی,13000000000,1,7
329,120,1395,3, سهروردی,13250000000,1,7
330,55,1388,1, کوی فردوس,5950000000,2,14
331,72,1378,2, باغ فیض,5720000000,3,24
332,116,1390,3, آبشار تهران,8250000000,7,12
333,89,1386,2, شهران شمالی,6650000000,2,16
334,180,1385,3, سعادت‌آباد,30600000000,11,17
335,98,1397,2, جنت‌آباد جنوبی,11200000000,5,5
336,47,1389,1, سلسبیل,2800000000,1,13
337,130,1380,2, الهیه,23900000000,1,22
338,100,1401,2, مرزداران,14500000000,3,1
339,114,1395,3, آبشار تهران,8050000000,4,7
340,115,1382,2, شهرک غرب,13400000000,1,20
341,75,1384,2, جنت‌آباد مرکزی,7800000000,5,18
342,139,1402,3, استاد معین,11850000000,4,0
343,20,1400,1, دریاچه شهدای خلیج فارس,600000000,21,2
344,60,1388,2, پونک,6300000000,5,14
345,230,1396,3, سعادت‌آباد,50000000000,1,6
346,73,1395,2, شهران جنوبی,7000000000,3,7
347,125,1392,3, سعادت‌آباد,17500000000,5,10
348,78,1398,2, جنت‌آباد جنوبی,10000000000,5,4
349,76,1397,2, جنت‌آباد مرکزی,8150000000,5,5
350,172,1400,3, سعادت‌آباد,45000000000,5,2
351,84,1384,2, پونک,7900000000,1,18
352,65,1380,2, افسریه,3900000000,0,22
353,375,1400,4, محمودیه,93000000000,2,2
354,150,1385,3, میرداماد,18000000000,2,17
355,130,1401,3, مقدم,6500000000,0,1
356,194,1401,3, پاسداران,22310000000,11,1
357,225,1387,3, زعفرانیه,44000000000,6,15
358,170,1401,3, ولنجک,39000000000,6,1
359,113,1397,2, سازمان برنامه,15820000000,3,5
360,118,1402,2, دریاچه شهدای خلیج فارس,8500000000,25,0
361,61,1387,2, مولوی,1900000000,0,15
362,93,1385,2, سازمان برنامه,10200000000,3,17
363,72,1386,2, سازمان برنامه,7100000000,1,16
364,245,1388,4, فرمانیه,47000000000,5,14
365,125,1384,3, کوی فردوس,12800000000,3,18
366,88,1385,2, جنت‌آباد جنوبی,7089000000,2,17
367,48,1383,1, جیحون,2800000000,0,19
368,68,1385,2, پونک,6100000000,3,17
369,90,1402,2, چیتگر,990000000,12,0
370,61,1387,1, پونک,6000000000,2,15
371,75,1386,2, جنت‌آباد مرکزی,5750000000,4,16
372,130,1380,3, پاسداران,20000000000,2,22
373,101,1402,2, چیتگر,808000000,11,0
374,47,1385,1, جیحون,2800000000,0,17
375,320,1394,3, سرو آزاد,14800000000,0,8
376,74,1399,2, پیروزی,5850000000,0,3
377,74,1385,2, پونک,6300000000,1,17
378,100,1401,2, نیرو هوایی,13000000000,3,1
379,150,1401,3, نیرو هوایی,15000000000,4,1
380,150,1397,3, شهرک راه‌آهن,142000000000,2,5
381,50,1400,1, جیحون,3400000000,4,2
382,115,1402,2, سرو آزاد,4255000000,23,0
383,85,1402,2, نیرو هوایی,9800000000,1,0
384,240,1402,3, فرمانیه,63000000000,6,0
385,110,1402,2, مرزداران,12900000000,4,0
386,88,1390,1, بهارستان,1848000000,0,12
387,53,1393,1, صفا,2970000000,0,9
388,160,1401,3, شهرک غرب,41600000000,2,1
389,153,1399,3, آرارات,26000000000,2,3
390,50,1376,1, هفت چنار,2800000000,1,26
391,155,1390,3, میرداماد,17000000000,3,12
392,140,1395,2, اختیاریه,18200000000,2,7
393,90,1383,2, اباذر,8800000000,2,19
394,50,1391,1, خانی‌آباد نو,2500000000,0,11
395,200,1402,3, زعفرانیه,90000000000,5,0
396,62,1395,1, دولاب,3350000000,0,7
397,57,1385,2, تهران‌سر,3330000000,2,17
398,127,1398,3, دریاچه شهدای خلیج فارس,16000000000,14,4
399,53,1386,1, مولوی,2150000000,0,16
400,55,1387,1, شهر زیبا,5250000000,4,15
401,90,1397,2, شهران جنوبی,8500000000,1,5
402,80,1386,2, شهر زیبا,7450000000,4,16
403,159,1398,3, دهکده المپیک,17800000000,3,4
404,235,1400,3, قیطریه,56000000000,3,2
405,112,1396,2, جنت‌آباد جنوبی,14500000000,3,6
406,110,1402,2, پاسداران,14000000000,11,0
407,44,1385,1, آذربایجان,3990000000,2,17
408,89,1388,2, شمس‌آباد,10650000000,1,14
409,149,1391,3, شهر زیبا,11500000000,1,11
410,112,1402,2, چیتگر,7850000000,0,0
411,85,1402,2, دریاچه شهدای خلیج فارس,1275000000,12,0
412,200,1392,3, درب دوم,35500000000,1,10
413,140,1393,3, جنت‌آباد جنوبی,18200000000,5,9
414,85,1390,2, سعادت‌آباد,12700000000,4,12
415,55,1387,1, جیحون,3500000000,2,15
416,116,1401,2, پاسداران,14500000000,8,1
417,120,1402,2, جنت‌آباد جنوبی,17500000000,3,0
418,111,1396,2, شهرک غرب,24200000000,1,6
419,65,1385,1, پونک,5700000000,1,17
