,Area,YearBuilt,Rooms,Location,Price,Floor
212,۱۲۰,۱۳۸۵,۲, سعادت‌آباد,۲۱۰۰۰۰۰۰۰۰۰,۵
213,۷۰,۱۴۰۱,۱, الهیه,۲۳۰۰۰۰۰۰۰۰۰,۱ 
214,۵۰,۱۳۹۴,۱, دولاب,۵۹۰۰۰۰۰۰۰۰,۲ 
215,۱۴۵,۱۳۸۰,۳, پونک,۲۸۰۰۰۰۰۰۰۰۰,۱ 
216,۱۲۰,۱۴۰۱,۲, شادمهر,۱۲۵۹۰۰۰۰۰۰۰,۴
217,۱۲۲,۱۳۹۱,۳, چیتگر,۶۵۰۰۰۰۰۰۰۰,۳
218,۲۵۰,۱۴۰۱,۳, نیاوران,۸۵۰۰۰۰۰۰۰۰۰,۶ 
219,۷۵,۱۳۹۷,۲, مبارک‌آباد بهشتی,۱۸۷۵۰۰۰۰۰۰,۳
220,۱۱۰,1370,۲, جهاد,۸۸۰۰۰۰۰۰۰۰,۲
221,۲۱۰,۱۳۸۰,۳, قیطریه,۲۴۳۵۰۰۰۰۰۰۰,۴
222,۱۲۸,۱۳۹۱,۲, باغ خزانه,۶۸۴۸۰۰۰۰۰۰,۵ 
223,۱۰۰,۱۳۹۷,۲, شهران شمالی,۱۱۰۰۰۰۰۰۰۰۰,۴ 
224,۱۲۵,۱۴۰۱,۲, دریاچه شهدای خلیج فارس,۷۸۵۰۰۰۰۰۰۰,۳
225,۱۵۰,۱۴۰۲,۳, چیتگر,۹۹۹۹۹۹۹۹۹۹,۹
226,۲۱۰,۱۴۰۱,۲, الهیه,۴۵۵۰۰۰۰۰۰۰۰,۵ 
227,۷۵,۱۳۸۸,۲, نیرو هوایی,۵۰۰۰۰۰۰۰۰۰,۳
228,۷۰,۱۳۹۲,۲, مبارک‌آباد بهشتی,۲۳۰۰۰۰۰۰۰۰,۱ 
229,۵۵,۱۳۹۸,۱, مبارک‌آباد بهشتی,۱۷۰۵۰۰۰۰۰۰,۱
230,۱۱۳,۱۳۹۵,۲, مرزداران,۱۴۸۰۰۰۰۰۰۰۰,۲ 
231,۵۶,۱۳۸۷,۱, فلاح,۲۶۳۲۰۰۰۰۰۰,۴
232,۱۰۰,۱۴۰۲,۲, منیریه,۹۹۰۰۰۰۰۰۰۰,۶
233,۱۴۲,۱۳۸۸,۳, سعادت‌آباد,۱۸۱۰۰۰۰۰۰۰۰,۲ 
234,۶۰,۱۳۹۸,۲, اندیشه (شهر زیبا),۲۰۰۰۰۰۰۰۰۰,۲ 
235,۶۵,۱۴۰۲,۲, منیریه,۶۵۰۰۰۰۰۰۰۰,۱ 
236,۹۵,۱۳۹۴,۲, جنت‌آباد مرکزی,۱۰۰۵۰۰۰۰۰۰۰,۳
237,۱۲۵,۱۳۹۶,۳, پاسداران,۱۷۶۰۰۰۰۰۰۰۰,۳ 
238,۱۳۵,۱۳۹۸,۲, دهقان,۱۲۳۰۰۰۰۰۰۰۰,0
239,۱۰۰,۱۳۷۷,۲, سعادت‌آباد,۱۲۹۹۹۹۰۹۰۹۹,۱
240,۱۵۴,۱۳۹۰,۳, دروس,۲۱۰۰۰۰۰۰۰۰۰,۳ 
241,۵۵,۱۳۸۷,۱, جنت‌آباد مرکزی,۵۴۰۰۰۰۰۰۰۰,۵
242,۱۰۲,۱۳۸۸,۲, قلهک,۱۲۰۰۰۰۰۰۰۰۰,۵ 
243,۱۵۵,۱۳۸۳,۳, ظفر,۱۶۰۰۰۰۰۰۰۰۰,۴
244,۱۰۹,۱۳۹۳,۲, مرزداران,۱۶۰۰۰۰۰۰۰۰۰,۱ 
245,۱۱۰,۱۴۰۲,۲, باغ فیض,۱۳۷۵۰۰۰۰۰۰۰,۳ 
246,۱۸۵,۱۴۰۲,۳, کاشانک,۲۵۵۰۰۰۰۰۰۰۰,۶
247,۶۴,۱۴۰۲,۱, مرزداران,۸۴۰۰۰۰۰۰۰۰,۳ 
248,۷۷,۱۳۸۹,۲, مرزداران,۱۰۴۵۰۰۰۰۰۰۰,۲ 
249,۳۱۳,۱۳۸۶,۴, دروس,۵۱۵۰۰۰۰۰۰۰۰,۵ 
250,۱۲۵,۱۳۹۷,۲, منیریه,۱۰۴۵۰۰۰۰۰۰۰,۵ 
251,۲۵۰,۱۴۰۰,۳, دروس,۵۰۰۰۰۰۰۰۰۰۰,۴ 
252,۶۷,۱۳۸۹,۱, سازمان برنامه,۵۷۰۵۰۰۰۰۰۰,۱
253,۱۲۰,۱۳۸۵,۲, اختیاریه,۱۳۰۰۰۰۰۰۰۰۰,۱
254,۱۳۰,۱۴۰۲,۳, سهروردی,۱۴۰۰۰۰۰۰۰۰۰,۴
255,۱۱۵,۱۴۰۱,۲, هروی,۱۳۷۵۰۰۰۰۰۰۰,۳۰
256,۱۱۵,۱۳۹۶,۳, پونک,۱۲۳۰۰۰۰۰۰۰۰,۴ 
257,۱۴۳,۱۴۰۲,۳, شهرک غرب,۲۷۰۰۰۰۰۰۰۰۰,۲ 
258,۱۰۱,۱۳۸۳,۲, سعادت‌آباد,۱۲۹۰۰۰۰۰۰۰۰,۱ 
259,۱۱۵,۱۳۸۲,۲, شهرک غرب,۱۶۵۰۰۰۰۰۰۰۰,۲ 
260,۵۰,۱۳۸۶,۱, کوی فردوس,۵۴۰۰۰۰۰۰۰۰,0
261,۱۱۰,۱۳۸۸,۲, کامرانیه,۱۸۵۰۰۰۰۰۰۰۰,۴
262,۱۴۰,۱۴۰۱,۳, دریاچه شهدای خلیج فارس,۳۹۲۰۰۰۰۰۰۰,۱۴
263,۷۲,۱۴۰۰,۲, اندیشه (شهر زیبا),۲۸۰۰۰۰۰۰۰۰,۴
264,۱۱۵,۱۳۸۵,۲, اختیاریه,۱۳۵۰۰۰۰۰۰۰۰,۵ 
265,۶۶,۱۳۸۵,۲, کوی فردوس,۷۹۰۰۰۰۰۰۰۰,۵ 
266,۳۱۲,۱۳۹۸,۴, فرمانیه,۹۴۰۰۰۰۰۰۰۰۰,۳ 
267,۱۶۵,۱۳۹۵,۳, مرزداران,۲۶۶۰۰۰۰۰۰۰۰,۴
268,۱۱۲,۱۴۰۲,۲, سرو آزاد,۱۰۰۰۰۰۰۰۰۰۰,0
269,۱۲۴,۱۳۹۷,۳, دریاچه شهدای خلیج فارس,۱۱۷۰۰۰۰۰۰۰۰,۵
270,۱۱۰,۱۴۰۱,۲, سرو آزاد,۱۱۰۰۰۰۰۰۰۰۰,0
271,۱۷۰,۱۴۰۱,۳, نیاوران,۳۸۰۰۰۰۰۰۰۰۰,۲ 
272,۱۳۲,۱۳۹۱,۳, هوانیروز,۱۲۰۰۰۰۰۰۰۰۰,0
273,۵۸,۱۳۹۴,۱, کرمان,۴۹۹۹۹۹۹۹۹۹,0
274,۱۳۱,۱۴۰۱,۲, پاسداران,۱۵۸۰۰۰۰۰۰۰۰,۱۰ 
275,۴۸,۱۳۸۵,۱, کوی فردوس,۴۵۵۰۰۰۰۰۰۰,۴ 
276,۹۸,۱۳۹۸,۳, مبارک‌آباد بهشتی,۲۹۴۵۰۰۰۰۰۰,۵
277,۱۰۲,۱۴۰۱,۲, اختیاریه,۲۰۴۰۰۰۰۰۰۰۰,۴
278,۷۴,۱۳۸۸,۲, جنت‌آباد جنوبی,۶۶۸۰۰۰۰۰۰۰,۲ 
279,۶۶,۱۳۸۲,۲, ایران,۵۸۰۰۰۰۰۰۰۰,0
280,۱۱۸,۱۳۸۰,۲, جردن,۱۶۰۰۰۰۰۰۰۰۰,۳
281,۸۵,1370,۲, شمشیری,۴۵۰۰۰۰۰۰۰۰,0
282,۶۶,۱۳۹۹,۲, شهرک تختی,۲۲۴۱۰۰۰۰۰۰,۳
283,۱۵۰,۱۴۰۲,۳, مرزداران,۱۷۶۰۰۰۰۰۰۰۰,0
284,۱۲۰,1370,۳, شهر زیبا,۷۷۰۰۰۰۰۰۰۰,0
285,۱۰۶,۱۳۸۱,۲, صادقیه,۹۲۲۲۰۰۰۰۰۰,0
286,۵۲,۱۴۰۱,۱, هاشم‌آباد,۱۷۱۶۰۰۰۰۰۰,۳
287,۹۳,۱۴۰۲,۲, جنت‌آباد جنوبی,۱۳۴۸۰۰۰۰۰۰۰,۳ 
288,۷۲,۱۳۸۷,۲, ظهیرآباد,۴۳۲۰۰۰۰۰۰۰,0
289,۱۶۰,۱۳۹۵,۳, هروی,۲۰۷۱۰۰۰۰۰۰۰,۱
290,۶۰,۱۳۸۵,۱, آهنگ,۳۰۰۰۰۰۰۰۰۰,0
291,۵۳,۱۳۸۵,۱, کوی فردوس,۵۵۰۰۰۰۰۰۰۰,۳ 
292,۸۱,۱۴۰۱,۲, مبارک‌آباد بهشتی,۲۶۳۲۵۰۰۰۰۰,۳
293,۱۵۵,۱۴۰۱,۳, جنت‌آباد جنوبی,۲۴۵۰۰۰۰۰۰۰۰,۲ 
294,۲۹۰,۱۴۰۱,۴, پونک,۵۵۰۰۰۰۰۰۰۰۰,۴ 
295,۶۲,۱۳۹۴,۱, ازگل,۸۲۰۰۰۰۰۰۰۰,۴ 
296,۹۲,۱۳۹۳,۲, جنت‌آباد مرکزی,۱۲۰۵۰۰۰۰۰۰۰,۳ 
297,۱۳۳,۱۳۹۴,۳, جنت‌آباد جنوبی,۱۷۰۰۰۰۰۰۰۰۰,۵ 
298,۶۷,۱۳۹۲,۱, جی,۳۴۸۶۰۰۰۰۰۰,۱ 
299,۱۸۵,۱۳۹۴,۳, شهرک ژاندارمری,۳۳۲۰۰۰۰۰۰۰۰,۳ 
300,۱۶۵,۱۳۷۹,۳, شهرک غرب,۲۱۰۰۰۰۰۰۰۰۰,۴
301,۹۰,۱۳۹۶,۲, جنت‌آباد شمالی,۹۲۰۰۰۰۰۰۰۰,۳ 
302,۱۰۰,1370,۱, پیروزی,۶۲۰۰۰۰۰۰۰۰,0
303,۱۷۸,۱۳۸۰,۳, جردن,۲۰۵۰۰۰۰۰۰۰۰,۶ 
304,۱۵۰,۱۴۰۲,۳, جردن,۲۸۰۰۰۰۰۰۰۰۰,۱ 
305,۲۰۰,۱۴۰۲,۳, پاسداران,۲۴۰۰۰۰۰۰۰۰۰,۱۶
306,۱۶۸,۱۳۸۱,۳, جردن,۲۲۲۰۰۰۰۰۰۰۰,۴
307,۲۲۵,۱۳۸۵,۳, امانیه,۲۵۴۰۰۰۰۰۰۰۰,۵ 
308,۱۴۰,۱۳۹۵,۳, شهرک پرواز,۱۷۶۰۰۰۰۰۰۰۰,۲
309,۱۱۲,۱۳۹۱,۲, باغ فیض,۱۲۵۴۴۰۰۰۰۰۰,۳ 
310,۲۷۰,۱۳۸۸,۴, ولنجک,۵۶۰۰۰۰۰۰۰۰۰,۵ 
311,۱۱۰,۱۴۰۲,۲, جنت‌آباد جنوبی,۱۱۶۸۰۰۰۰۰۰۰,۳ 
312,۱۰۵,۱۳۹۳,۳, شهران جنوبی,۱۱۴۰۰۰۰۰۰۰۰,۴
313,۱۳۶,۱۳۸۸,۳, کوی فردوس,۱۳۹۰۰۰۰۰۰۰۰,۳ 
314,۱۵۴,۱۳۸۳,۳, کوی فردوس,۱۱۵۵۰۰۰۰۰۰۰,۲ 
315,۱۱۵,۱۳۸۴,۲, هروی,۱۲۷۰۰۰۰۰۰۰۰,۱ 
316,۱۰۴,۱۳۹۳,۲, جنت‌آباد مرکزی,۱۲۲۰۰۰۰۰۰۰۰,۱ 
317,۲۱۴,۱۴۰۲,۳, جردن,۴۷۰۰۰۰۰۰۰۰۰,۱ 
318,۱۳۰,۱۳۹۸,۳, هروی,۱۸۲۰۰۰۰۰۰۰۰,۵
319,۹۸,۱۳۹۰,۲, جنت‌آباد جنوبی,۱۱۸۰۰۰۰۰۰۰۰,۴ 
320,۱۰۵,۱۳۸۵,۲, سعادت‌آباد,۱۳۰۰۰۰۰۰۰۰۰,۴
321,۱۱۰,۱۳۹۰,۲, هروی,۱۲۹۰۰۰۰۰۰۰۰,۵
322,۲۱۲,۱۳۸۵,۳, پاسداران,۲۹۰۰۰۰۰۰۰۰۰,۴ 
323,۸۵,۱۳۹۵,۲, پونک,۷۶۰۰۰۰۰۰۰۰,۴
324,۸۸,۱۴۰۱,۲, کاشانک,۱۴۵۰۰۰۰۰۰۰۰,۳
325,۱۲۷,۱۴۰۱,۲, ازگل,۲۱۳۰۰۰۰۰۰۰۰,۲ 
326,۱۴۰,۱۴۰۱,۳, سعادت‌آباد,۲۳۵۰۰۰۰۰۰۰۰,۵ 
327,۱۸۰,۱۳۸۸,۳, زعفرانیه,۲۸۰۰۰۰۰۰۰۰۰,۳ 
328,۱۳۵,۱۳۹۵,۳, جنت‌آباد شمالی,۱۳۰۰۰۰۰۰۰۰۰,۱ 
329,۱۲۰,۱۳۹۵,۳, سهروردی,۱۳۲۵۰۰۰۰۰۰۰,۱
330,۵۵,۱۳۸۸,۱, کوی فردوس,۵۹۵۰۰۰۰۰۰۰,۲ 
331,۷۲,۱۳۷۸,۲, باغ فیض,۵۷۲۰۰۰۰۰۰۰,۳ 
332,۱۱۶,۱۳۹۰,۳, آبشار تهران,۸۲۵۰۰۰۰۰۰۰,۷
333,۸۹,۱۳۸۶,۲, شهران شمالی,۶۶۵۰۰۰۰۰۰۰,۲ 
334,۱۸۰,۱۳۸۵,۳, سعادت‌آباد,۳۰۶۰۰۰۰۰۰۰۰,۱۱
335,۹۸,۱۳۹۷,۲, جنت‌آباد جنوبی,۱۱۲۰۰۰۰۰۰۰۰,۵
336,۴۷,۱۳۸۹,۱, سلسبیل,۲۸۰۰۰۰۰۰۰۰,۱ 
337,۱۳۰,۱۳۸۰,۲, الهیه,۲۳۹۰۰۰۰۰۰۰۰,۱ 
338,۱۰۰,۱۴۰۱,۲, مرزداران,۱۴۵۰۰۰۰۰۰۰۰,۳ 
339,۱۱۴,۱۳۹۵,۳, آبشار تهران,۸۰۵۰۰۰۰۰۰۰,۴
340,۱۱۵,۱۳۸۲,۲, شهرک غرب,۱۳۴۰۰۰۰۰۰۰۰,۱
341,۷۵,۱۳۸۴,۲, جنت‌آباد مرکزی,۷۸۰۰۰۰۰۰۰۰,۵ 
342,۱۳۹,۱۴۰۲,۳, استاد معین,۱۱۸۵۰۰۰۰۰۰۰,۴ 
343,۲۰,۱۴۰۰,۱, دریاچه شهدای خلیج فارس,۶۰۰۰۰۰۰۰۰,۲۱ 
344,۶۰,۱۳۸۸,۲, پونک,۶۳۰۰۰۰۰۰۰۰,۵ 
345,۲۳۰,۱۳۹۶,۳, سعادت‌آباد,۵۰۰۰۰۰۰۰۰۰۰,۱
346,۷۳,۱۳۹۵,۲, شهران جنوبی,۷۰۰۰۰۰۰۰۰۰,۳ 
347,۱۲۵,۱۳۹۲,۳, سعادت‌آباد,۱۷۵۰۰۰۰۰۰۰۰,۵
348,۷۸,۱۳۹۸,۲, جنت‌آباد جنوبی,۱۰۰۰۰۰۰۰۰۰۰,۵
349,۷۶,۱۳۹۷,۲, جنت‌آباد مرکزی,۸۱۵۰۰۰۰۰۰۰,۵
350,۱۷۲,۱۴۰۰,۳, سعادت‌آباد,۴۵۰۰۰۰۰۰۰۰۰,۵ 
351,۸۴,۱۳۸۴,۲, پونک,۷۹۰۰۰۰۰۰۰۰,۱ 
352,۶۵,۱۳۸۰,۲, افسریه,۳۹۰۰۰۰۰۰۰۰,0
353,۳۷۵,۱۴۰۰,۴, محمودیه,۹۳۰۰۰۰۰۰۰۰۰,۲ 
354,۱۵۰,۱۳۸۵,۳, میرداماد,۱۸۰۰۰۰۰۰۰۰۰,۲ 
355,۱۳۰,۱۴۰۱,۳, مقدم,۶۵۰۰۰۰۰۰۰۰,0
356,۱۹۴,۱۴۰۱,۳, پاسداران,۲۲۳۱۰۰۰۰۰۰۰,۱۱
357,۲۲۵,۱۳۸۷,۳, زعفرانیه,۴۴۰۰۰۰۰۰۰۰۰,۶ 
358,۱۷۰,۱۴۰۱,۳, ولنجک,۳۹۰۰۰۰۰۰۰۰۰,۶ 
359,۱۱۳,۱۳۹۷,۲, سازمان برنامه,۱۵۸۲۰۰۰۰۰۰۰,۳ 
360,۱۱۸,۱۴۰۲,۲, دریاچه شهدای خلیج فارس,۸۵۰۰۰۰۰۰۰۰,۲۵ 
361,۶۱,۱۳۸۷,۲, مولوی,۱۹۰۰۰۰۰۰۰۰,0
362,۹۳,۱۳۸۵,۲, سازمان برنامه,۱۰۲۰۰۰۰۰۰۰۰,۳ 
363,۷۲,۱۳۸۶,۲, سازمان برنامه,۷۱۰۰۰۰۰۰۰۰,۱ 
364,۲۴۵,۱۳۸۸,۴, فرمانیه,۴۷۰۰۰۰۰۰۰۰۰,۵
365,۱۲۵,۱۳۸۴,۳, کوی فردوس,۱۲۸۰۰۰۰۰۰۰۰,۳ 
366,۸۸,۱۳۸۵,۲, جنت‌آباد جنوبی,۷۰۸۹۰۰۰۰۰۰,۲ 
367,۴۸,۱۳۸۳,۱, جیحون,۲۸۰۰۰۰۰۰۰۰,0
368,۶۸,۱۳۸۵,۲, پونک,۶۱۰۰۰۰۰۰۰۰,۳ 
369,۹۰,۱۴۰۲,۲, چیتگر,۹۹۰۰۰۰۰۰۰,۱۲
370,۶۱,۱۳۸۷,۱, پونک,۶۰۰۰۰۰۰۰۰۰,۲
371,۷۵,۱۳۸۶,۲, جنت‌آباد مرکزی,۵۷۵۰۰۰۰۰۰۰,۴
372,۱۳۰,۱۳۸۰,۳, پاسداران,۲۰۰۰۰۰۰۰۰۰۰,۲ 
373,۱۰۱,۱۴۰۲,۲, چیتگر,۸۰۸۰۰۰۰۰۰,۱۱ 
374,۴۷,۱۳۸۵,۱, جیحون,۲۸۰۰۰۰۰۰۰۰,0
375,۳۲۰,۱۳۹۴,۳, سرو آزاد,۱۴۸۰۰۰۰۰۰۰۰,0
376,۷۴,۱۳۹۹,۲, پیروزی,۵۸۵۰۰۰۰۰۰۰,0
377,۷۴,۱۳۸۵,۲, پونک,۶۳۰۰۰۰۰۰۰۰,۱ 
378,۱۰۰,۱۴۰۱,۲, نیرو هوایی,۱۳۰۰۰۰۰۰۰۰۰,۳
379,۱۵۰,۱۴۰۱,۳, نیرو هوایی,۱۵۰۰۰۰۰۰۰۰۰,۴
380,۱۵۰,۱۳۹۷,۳, شهرک راه‌آهن,۱۴۲۰۰۰۰۰۰۰۰۰,۲
381,۵۰,۱۴۰۰,۱, جیحون,۳۴۰۰۰۰۰۰۰۰,۴ 
382,۱۱۵,۱۴۰۲,۲, سرو آزاد,۴۲۵۵۰۰۰۰۰۰,۲۳ 
383,۸۵,۱۴۰۲,۲, نیرو هوایی,۹۸۰۰۰۰۰۰۰۰,۱
384,۲۴۰,۱۴۰۲,۳, فرمانیه,۶۳۰۰۰۰۰۰۰۰۰,۶
385,۱۱۰,۱۴۰۲,۲, مرزداران,۱۲۹۰۰۰۰۰۰۰۰,۴
386,۸۸,۱۳۹۰,۱, بهارستان,۱۸۴۸۰۰۰۰۰۰,0
387,۵۳,۱۳۹۳,۱, صفا,۲۹۷۰۰۰۰۰۰۰,0
388,۱۶۰,۱۴۰۱,۳, شهرک غرب,۴۱۶۰۰۰۰۰۰۰۰,۲ 
389,۱۵۳,۱۳۹۹,۳, آرارات,۲۶۰۰۰۰۰۰۰۰۰,۲
390,۵۰,۱۳۷۶,۱, هفت چنار,۲۸۰۰۰۰۰۰۰۰,۱
391,۱۵۵,۱۳۹۰,۳, میرداماد,۱۷۰۰۰۰۰۰۰۰۰,۳
392,۱۴۰,۱۳۹۵,۲, اختیاریه,۱۸۲۰۰۰۰۰۰۰۰,۲
393,۹۰,۱۳۸۳,۲, اباذر,۸۸۰۰۰۰۰۰۰۰,۲ 
394,۵۰,۱۳۹۱,۱, خانی‌آباد نو,۲۵۰۰۰۰۰۰۰۰,0
395,۲۰۰,۱۴۰۲,۳, زعفرانیه,۹۰۰۰۰۰۰۰۰۰۰,۵
396,۶۲,۱۳۹۵,۱, دولاب,۳۳۵۰۰۰۰۰۰۰,0
397,۵۷,۱۳۸۵,۲, تهران‌سر,۳۳۳۰۰۰۰۰۰۰,۲
398,۱۲۷,۱۳۹۸,۳, دریاچه شهدای خلیج فارس,۱۶۰۰۰۰۰۰۰۰۰,۱۴ 
399,۵۳,۱۳۸۶,۱, مولوی,۲۱۵۰۰۰۰۰۰۰,0
400,۵۵,۱۳۸۷,۱, شهر زیبا,۵۲۵۰۰۰۰۰۰۰,۴ 
401,۹۰,۱۳۹۷,۲, شهران جنوبی,۸۵۰۰۰۰۰۰۰۰,۱ 
402,۸۰,۱۳۸۶,۲, شهر زیبا,۷۴۵۰۰۰۰۰۰۰,۴ 
403,۱۵۹,۱۳۹۸,۳, دهکده المپیک,۱۷۸۰۰۰۰۰۰۰۰,۳ 
404,۲۳۵,۱۴۰۰,۳, قیطریه,۵۶۰۰۰۰۰۰۰۰۰,۳ 
405,۱۱۲,۱۳۹۶,۲, جنت‌آباد جنوبی,۱۴۵۰۰۰۰۰۰۰۰,۳ 
406,۱۱۰,۱۴۰۲,۲, پاسداران,۱۴۰۰۰۰۰۰۰۰۰,۱۱ 
407,۴۴,۱۳۸۵,۱, آذربایجان,۳۹۹۰۰۰۰۰۰۰,۲ 
408,۸۹,۱۳۸۸,۲, شمس‌آباد,۱۰۶۵۰۰۰۰۰۰۰,۱
409,۱۴۹,۱۳۹۱,۳, شهر زیبا,۱۱۵۰۰۰۰۰۰۰۰,۱ 
410,۱۱۲,۱۴۰۲,۲, چیتگر,۷۸۵۰۰۰۰۰۰۰,0
411,۸۵,۱۴۰۲,۲, دریاچه شهدای خلیج فارس,۱۲۷۵۰۰۰۰۰۰,۱۲
412,۲۰۰,۱۳۹۲,۳, درب دوم,۳۵۵۰۰۰۰۰۰۰۰,۱ 
413,۱۴۰,۱۳۹۳,۳, جنت‌آباد جنوبی,۱۸۲۰۰۰۰۰۰۰۰,۵ 
414,۸۵,۱۳۹۰,۲, سعادت‌آباد,۱۲۷۰۰۰۰۰۰۰۰,۴
415,۵۵,۱۳۸۷,۱, جیحون,۳۵۰۰۰۰۰۰۰۰,۲ 
416,۱۱۶,۱۴۰۱,۲, پاسداران,۱۴۵۰۰۰۰۰۰۰۰,۸ 
417,۱۲۰,۱۴۰۲,۲, جنت‌آباد جنوبی,۱۷۵۰۰۰۰۰۰۰۰,۳
418,۱۱۱,۱۳۹۶,۲, شهرک غرب,۲۴۲۰۰۰۰۰۰۰۰,۱
419,۶۵,۱۳۸۵,۱, پونک,۵۷۰۰۰۰۰۰۰۰,۱
